"SKU","Product","Package ID","Category","Tags","Unit price (Inventory)","Batch","External package ID","Inventory date","Expiration date","Packaging date","Date of manufacture","Quantity (including allocated)","Current price","Price (Catalog)"
58290487,"Kind Farms Confections, Caramel Macchiato-300mg",16614,Edibles,,25,16614,16614,3/7/2025,,3/7/2025,,2,25,25
82977438,"Kind Farms Confections, Classic Milk-300mg",16615,Edibles,,25,16615,16615,3/7/2025,,3/7/2025,,3,25,25
84795461,"Kind Farms Confections, Extra Dark -300mg",16616,Edibles,,25,16616,16616,3/7/2025,,3/7/2025,,1,25,25
F44BAD,"Kind Farms Confections, Milk Toffee Crunch-300mg",16617,Edibles,,25,16617,16617,3/7/2025,,3/7/2025,,2,25,25
82251539,"Kind Farms Confections, Peanut Butter Marshmallow-300mg",16618,Edibles,,25,16618,16618,3/7/2025,,3/7/2025,,3,25,25
30779765,"Kind Farms Confections Pretzel Bag, Milk Chocolate-300mg",16619,Edibles,,25,16619,16619,3/7/2025,,3/7/2025,,1,25,25
81353484,"Kind Farms Confections Pretzel Bag, Peanut Butter-300mg",16621,Edibles,,25,16621,16621,3/7/2025,,3/7/2025,,1,25,25
82174181,"Kind Farms Confections, Wild Blueberry -300mg",16622,Edibles,,25,16622,16622,3/7/2025,,3/7/2025,,2,25,25
537F8B,MEDCo French Caramel - 50mg,16636,Edibles,,5.55,16636,16636,3/10/2025,5/9/2025,3/12/2025,,43,5.55,5.55
58076275,MEDCo French Caramel - 100mg,16637,Edibles,,9.25,16637,16637,3/10/2025,5/9/2025,3/11/2025,,81,9.25,9.25
71298504,"MEDCo French Caramel, Chocolate - 50mg",16638,Edibles,,5.55,16638,16638,3/10/2025,5/9/2025,3/11/2025,,33,5.55,5.55
64334266,"MEDCo Gumeaze, Blue Raspberry-1000mg",16549,Edibles,,35.96,16549,16549,3/3/2025,8/30/2025,3/3/2025,,8,35.96,35.96
05314680,Baked Bliss Chocolate Bar- Dark Chocolate - 200mg,16653,Edibles,,14.81,16653,16653,3/17/2025,,3/17/2025,,4,14.81,14.81
73766561,Baked Bliss Chocolate Bars - Candy Coated Chocolate- 200mg,16655,Edibles,,14.81,16655,16655,3/17/2025,,3/17/2025,,4,14.81,14.81
27244755,Baked Bliss Chocolate Bars - Cookies & Caramel- 200mg,16658,Edibles,,14.81,16658,16658,3/17/2025,,3/17/2025,,4,14.81,14.81
64720416,Baked Bliss Chocolate Bars - Milk Chocolate- 200mg,16657,Edibles,,14.81,16657,16657,3/17/2025,,3/17/2025,,4,14.81,14.81
49607582,"Baked Bliss Gummies, Mixed Flavor-2000mg",16659,Edibles,,80.56,16659,16659,3/17/2025,,3/17/2025,,10,80.56,80.56
87617385,"MEDCo French Caramel, Green Apple - 50mg",16671,Edibles,,5.55,16671,16671,3/18/2025,5/17/2025,3/20/2025,,55,5.55,5.55
80328533,"MEDCo French Caramel, Peanut Butter - 50mg",16672,Edibles,,5.55,16672,16672,3/18/2025,5/17/2025,3/20/2025,,47,5.55,5.55
537F8B,MEDCo French Caramel - 50mg,16699,Edibles,,5.55,16699,16699,3/24/2025,5/24/2025,3/24/2025,,186,5.55,5.55
71298504,"MEDCo French Caramel, Chocolate - 50mg",16700,Edibles,,5.55,16700,16700,3/24/2025,5/23/2025,3/27/2025,,1,5.55,5.55
73292198,"MEDCo French Caramel, Coffee - 50mg",16701,Edibles,,5.55,16701,16701,3/24/2025,5/23/2025,3/27/2025,,1,5.55,5.55
93552559,"MEDCo French Caramel, Strawberry Shortcake - 50mg",16702,Edibles,,5.55,16702,16702,3/24/2025,5/23/2025,3/27/2025,,1,5.55,5.55
50789721,"MEDCo The Venture Bar, 100mg",16710,Edibles,,12.03,16710,16710,3/25/2025,6/23/2025,3/25/2025,,7,12.03,12.03
A3AC48,"MEDCo, Space Krispy-100mg",16711,Edibles,,12.03,16711,16711,3/25/2025,6/23/2025,3/25/2025,,4,12.03,12.03
